className,gps
traffic sign,"(106.120232,40.398373)"
traffic sign,"(106.120232,40.398373)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
well cover,"(106.117632,40.398635)"
well cover,"(106.117333,40.398663)"
traffic sign,"(106.108462,40.399577)"
traffic sign,"(106.108462,40.399577)"
traffic sign,"(106.108462,40.399577)"
traffic sign,"(106.108462,40.399577)"
traffic sign,"(106.108462,40.399577)"
traffic sign,"(106.108462,40.399577)"
traffic sign,"(106.108462,40.399577)"
traffic sign,"(106.108462,40.399577)"
traffic sign,"(106.108462,40.399577)"
traffic sign,"(106.108462,40.399577)"
traffic sign,"(106.108462,40.399577)"
traffic sign,"(106.108462,40.399577)"
traffic sign,"(106.108462,40.399577)"
traffic sign,"(106.108462,40.399577)"
traffic sign,"(106.108462,40.399577)"
well cover,"(106.105710,40.399812)"
traffic sign,"(106.0396585,40.400665)"
traffic sign,"(106.0396585,40.400665)"
traffic sign,"(106.0396585,40.400665)"
traffic sign,"(106.0396585,40.400665)"
traffic sign,"(106.0396585,40.400665)"
traffic sign,"(106.0396585,40.400665)"
traffic sign,"(106.0396585,40.400665)"
traffic sign,"(106.0396585,40.400665)"
traffic sign,"(106.0396585,40.400665)"
traffic sign,"(106.0396585,40.400665)"
traffic sign,"(106.0396585,40.400665)"
traffic sign,"(106.0396585,40.400665)"
traffic sign,"(106.0396585,40.400665)"
well cover,"(106.093307,40.400800)"
well cover,"(106.093307,40.400800)"
well cover,"(092.140,40.400820)"
well cover,"(106.091250,40.400830)"
well cover,"(106.091250,40.400830)"
well cover,"(106.030952,40.400828)"
well cover,"(106.030952,40.400828)"
well cover,"(106.030048,40.400825)"
well cover,"(106.030048,40.400825)"
well cover,"(106.086945,40.400742)"
traffic sign,"(106.085045,40.400638)"
traffic sign,"(106.085045,40.400638)"
traffic sign,"(106.085045,40.400638)"
traffic sign,"(106.085045,40.400638)"
traffic sign,"(106.085045,40.400638)"
traffic sign,"(106.085045,40.400638)"
traffic sign,"(106.085045,40.400638)"
traffic sign,"(106.085045,40.400638)"
traffic sign,"(106.085045,40.400638)"
traffic sign,"(106.085045,40.400638)"
traffic sign,"(106.085045,40.400638)"
traffic sign,"(106.085045,40.400638)"
traffic sign,"(106.085045,40.400638)"
well cover,"(106.077170,40.399873)"
traffic sign,"(106.073182,40.399448)"
traffic sign,"(106.073182,40.399448)"
traffic sign,"(106.073182,40.399448)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
traffic sign,"(106.072958,40.399425)"
well cover,"(106.072733,40.399400)"
